ID,Животное,Тип,Место наблюдения,Сезон,Количество особей,Температура воздуха (°C),Тип питания,Антропогенный фактор,Интересный факт
882,Голомянка,рыба,Малое Море,весна,296.0,-3.6445124995,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
883,Чайка,птица,Ольхон,лето,18.0,12.6134691318,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
884,Голомянка,рыба,Селенгинский район,весна,278.0,-3.1372889297,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
885,Голомянка,рыба,Чивыркуйский залив,весна,262.0,0.2970657692,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
886,Омуль,рыба,Малое Море,зима,132.0,-12.1769646283,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
887,Чайка,птица,Ольхон,осень,11.0,7.2609798718,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
888,Чайка,птица,Баргузинский залив,зима,1.0,-12.4712544398,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
889,Эпишура,планктон,Малое Море,весна,2770.0,7.6720748913,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
890,Омуль,рыба,Ольхон,лето,28.0,14.161504561,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
891,Эпишура,планктон,Баргузинский залив,лето,3246.0,13.4602628403,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
892,Омуль,рыба,Селенгинский район,лето,140.0,10.5762338168,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
893,Омуль,рыба,Ольхон,осень,50.0,12.9147486563,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
894,Чайка,птица,Чивыркуйский залив,осень,1.0,-13.0253094619,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
895,Чайка,птица,Ольхон,весна,9.0,4.8227103074,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
896,Чайка,птица,Ольхон,весна,12.0,-2.4378339107,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
897,Чайка,птица,Селенгинский район,зима,1.0,-10.7682883825,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
898,Голомянка,рыба,Селенгинский район,зима,352.0,-18.705969686,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
899,Голомянка,рыба,Ольхон,осень,226.0,9.4982505406,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
900,Чайка,птица,Баргузинский залив,лето,22.0,12.8265483216,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
901,Эпишура,планктон,Баргузинский залив,зима,4843.0,-20.5136692413,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
902,Голомянка,рыба,Чивыркуйский залив,осень,236.0,2.8655822964,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
903,Эпишура,планктон,Малое Море,осень,6355.0,14.9394790112,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
904,Омуль,рыба,Селенгинский район,весна,86.0,0.3514483596,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
905,Нерпа,млекопитающее,Малое Море,осень,1.0,13.0892590918,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
906,Чайка,птица,Баргузинский залив,лето,26.0,17.8624982825,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
907,Большой баклан,птица,Селенгинский район,осень,631.0,8.8759294253,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
908,Голомянка,рыба,Селенгинский район,осень,259.0,-1.9212003261,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
909,Омуль,рыба,Ольхон,осень,274.0,-3.4037324948,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
910,Нерпа,млекопитающее,Баргузинский залив,лето,5.0,11.9192180809,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
911,Омуль,рыба,Чивыркуйский залив,осень,84.0,13.9182380095,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
912,Омуль,рыба,Баргузинский залив,лето,66.0,19.5939361244,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
913,Голомянка,рыба,Чивыркуйский залив,зима,322.0,-13.7939839853,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
914,Большой баклан,птица,Селенгинский район,лето,926.0,12.9625244985,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
915,Голомянка,рыба,Ольхон,осень,303.0,-7.6446137897,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
916,Омуль,рыба,Селенгинский район,лето,56.0,19.8861024239,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
917,Чайка,птица,Селенгинский район,лето,16.0,10.6654281511,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
918,Нерпа,млекопитающее,Чивыркуйский залив,лето,5.0,18.4356429214,хищник,загрязнение,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
919,Голомянка,рыба,Малое Море,весна,278.0,-2.8908399904,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
920,Голомянка,рыба,Ольхон,весна,279.0,-1.6226056055,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
921,Омуль,рыба,Баргузинский залив,лето,109.0,18.3197764875,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
922,Большой баклан,птица,Селенгинский район,весна,908.0,-8.1879396799,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
923,Эпишура,планктон,Чивыркуйский залив,зима,4198.0,-19.6874548222,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
924,Большой баклан,птица,Ольхон,весна,247.0,9.0404855434,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
925,Чайка,птица,Чивыркуйский залив,зима,1.0,-14.5140113084,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
926,Эпишура,планктон,Селенгинский район,лето,8277.0,17.5493916481,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
927,Чайка,птица,Баргузинский залив,зима,1.0,-13.6374204857,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
928,Чайка,птица,Баргузинский залив,осень,1.0,-13.1828975051,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
929,Байкальский осетр,рыба,Малое Море,лето,2.0,12.0320759326,бентофаг,рыболовство,"Занесен в Красную книгу, встречается крайне редко"
930,Омуль,рыба,Баргузинский залив,зима,198.0,-17.6310511588,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
931,Чайка,птица,Селенгинский район,лето,15.0,13.6815023248,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
932,Голомянка,рыба,Чивыркуйский залив,осень,271.0,-2.672631206,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
933,Голомянка,рыба,Чивыркуйский залив,весна,261.0,5.6289475725,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
934,Эпишура,планктон,Баргузинский залив,лето,8492.0,10.1467923507,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
935,Голомянка,рыба,Малое Море,весна,249.0,3.2098385264,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
936,Байкальский осетр,рыба,Малое Море,лето,2.0,10.001102318,бентофаг,нет влияния,"Занесен в Красную книгу, встречается крайне редко"
937,Байкальский осетр,рыба,Селенгинский район,осень,1.0,-13.1082442327,бентофаг,рыболовство,"Занесен в Красную книгу, встречается крайне редко"
938,Голомянка,рыба,Чивыркуйский залив,весна,280.0,-1.8342776032,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
939,Эпишура,планктон,Селенгинский район,весна,5566.0,6.8189703961,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
940,Омуль,рыба,Чивыркуйский залив,зима,126.0,-22.8250635165,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
941,Омуль,рыба,Ольхон,зима,51.0,-16.6806788631,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
942,Чайка,птица,Селенгинский район,лето,31.0,16.7850522683,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
943,Эпишура,планктон,Малое Море,весна,8873.0,-5.4093423166,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
944,Чайка,птица,Чивыркуйский залив,зима,1.0,-17.315046171,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
945,Голомянка,рыба,Чивыркуйский залив,зима,312.0,-11.3288907529,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
946,Омуль,рыба,Малое Море,весна,61.0,0.2445705073,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
947,Голомянка,рыба,Селенгинский район,осень,302.0,-10.2803081464,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
948,Чайка,птица,Селенгинский район,весна,8.0,2.5562859338,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
949,Омуль,рыба,Баргузинский залив,лето,131.0,15.9220018001,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
950,Эпишура,планктон,Малое Море,зима,3691.0,-24.595678603,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
951,Эпишура,планктон,Баргузинский залив,осень,9475.0,-12.2821678276,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
952,Чайка,птица,Ольхон,зима,1.0,-22.6482796729,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
953,Нерпа,млекопитающее,Ольхон,зима,6.0,-22.9556638366,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
954,Чайка,птица,Чивыркуйский залив,весна,10.0,-4.8106845888,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
955,Голомянка,рыба,Чивыркуйский залив,зима,371.0,-18.1884201515,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
956,Чайка,птица,Ольхон,зима,1.0,-19.4242555315,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
957,Омуль,рыба,Малое Море,лето,137.0,18.906498914,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
958,Голомянка,рыба,Ольхон,зима,352.0,-15.8183588589,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
959,Большой баклан,птица,Малое Море,лето,810.0,18.7614434996,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
960,Омуль,рыба,Чивыркуйский залив,осень,223.0,0.8111797475,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
961,Чайка,птица,Малое Море,осень,1.0,-12.3038858793,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
962,Чайка,птица,Ольхон,лето,16.0,14.6328744907,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
963,Голомянка,рыба,Селенгинский район,весна,238.0,6.4406509368,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
964,Голомянка,рыба,Чивыркуйский залив,весна,298.0,-6.1179246567,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
965,Чайка,птица,Чивыркуйский залив,зима,1.0,-23.6317858187,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
966,Омуль,рыба,Селенгинский район,весна,88.0,-3.4113052332,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
967,Чайка,птица,Малое Море,осень,2.0,-3.3330650808,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
968,Эпишура,планктон,Селенгинский район,лето,4184.0,13.0625767641,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
969,Чайка,птица,Ольхон,лето,12.0,11.3524078562,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
970,Омуль,рыба,Селенгинский район,осень,331.0,-7.4748042083,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
971,Большой баклан,птица,Чивыркуйский залив,весна,603.0,3.645648092,хищник,загрязнение,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
972,Омуль,рыба,Малое Море,зима,85.0,-19.2110722556,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
973,Голомянка,рыба,Малое Море,зима,342.0,-15.5117583307,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
974,Большой баклан,птица,Чивыркуйский залив,весна,184.0,0.7260755984,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
975,Нерпа,млекопитающее,Селенгинский район,лето,3.0,15.4905293986,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
976,Нерпа,млекопитающее,Чивыркуйский залив,весна,5.0,-5.029008841,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
977,Эпишура,планктон,Селенгинский район,лето,13792.0,15.2154303277,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
978,Эпишура,планктон,Чивыркуйский залив,осень,8708.0,-14.2921585841,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
979,Омуль,рыба,Баргузинский залив,зима,41.0,-18.5238438651,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
980,Голомянка,рыба,Баргузинский залив,зима,356.0,-16.4106576522,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
981,Омуль,рыба,Малое Море,осень,296.0,-9.5401313594,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
982,Большой баклан,птица,Баргузинский залив,осень,119.0,-7.3032448125,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
983,Чайка,птица,Баргузинский залив,лето,13.0,12.1953101982,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
984,Чайка,птица,Малое Море,зима,1.0,-23.941630671,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
985,Чайка,птица,Баргузинский залив,осень,6.0,-4.5642803658,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
986,Голомянка,рыба,Ольхон,весна,1.0,9.579315329,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
987,Эпишура,планктон,Баргузинский залив,зима,2372.0,-19.691793903,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
988,Омуль,рыба,Ольхон,зима,140.0,-18.0919506724,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
989,Голомянка,рыба,Баргузинский залив,зима,321.0,-15.2036912357,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
990,Омуль,рыба,Баргузинский залив,зима,165.0,-15.2725337325,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
991,Чайка,птица,Селенгинский район,весна,18.0,8.9978996004,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
992,Омуль,рыба,Баргузинский залив,осень,67.0,10.726924212,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
993,Эпишура,планктон,Чивыркуйский залив,зима,4798.0,-13.0907396934,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
994,Чайка,птица,Ольхон,лето,20.0,19.5162722578,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
995,Эпишура,планктон,Малое Море,зима,2728.0,-21.5385192178,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
996,Эпишура,планктон,Чивыркуйский залив,весна,5177.0,2.3410838924,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
997,Чайка,птица,Ольхон,весна,14.0,7.7439353344,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
998,Эпишура,планктон,Ольхон,зима,1783.0,-15.6379276258,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
999,Эпишура,планктон,Баргузинский залив,осень,4785.0,14.3226142382,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
1000,Чайка,птица,Чивыркуйский залив,весна,1.0,-7.9929457219,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
1001,Чайка,птица,Малое Море,осень,1.0,-1.8200849162,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1002,Нерпа,млекопитающее,Малое Море,лето,1.0,19.7736290791,хищник,рыболовство,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
1003,Чайка,птица,Малое Море,осень,7.0,-3.6129591429,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1004,Голомянка,рыба,Баргузинский залив,весна,240.0,4.791127502,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
1005,Чайка,птица,Чивыркуйский залив,зима,1.0,-24.5439564838,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
1006,Омуль,рыба,Селенгинский район,весна,123.0,3.8967422926,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
1007,Эпишура,планктон,Ольхон,осень,5742.0,13.0388019758,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
1008,Чайка,птица,Чивыркуйский залив,зима,1.0,-19.2594057221,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
1009,Большой баклан,птица,Селенгинский район,весна,566.0,-9.5740032415,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
1010,Голомянка,рыба,Чивыркуйский залив,зима,381.0,-24.5813529341,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
1011,Омуль,рыба,Селенгинский район,весна,139.0,7.8404661142,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
1012,Голомянка,рыба,Ольхон,осень,243.0,6.6754832129,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
1013,Омуль,рыба,Баргузинский залив,весна,185.0,-7.8662723155,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
1014,Голомянка,рыба,Чивыркуйский залив,весна,308.0,-8.908194459,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
1015,Большой баклан,птица,Баргузинский залив,лето,814.0,18.0482536362,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
1016,Большой баклан,птица,Чивыркуйский залив,лето,1177.0,18.0986063281,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
1017,Эпишура,планктон,Ольхон,осень,7820.0,-11.3843448062,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
1018,Чайка,птица,Селенгинский район,осень,8.0,-5.9543878833,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
1019,Голомянка,рыба,Ольхон,весна,249.0,5.6005212915,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
1020,Омуль,рыба,Ольхон,лето,70.0,15.2541207095,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
1021,Чайка,птица,Малое Море,зима,1.0,-10.6512270891,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1022,Чайка,птица,Селенгинский район,зима,1.0,-17.7840603198,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
1023,Чайка,птица,Селенгинский район,лето,29.0,16.7695793757,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
1024,Нерпа,млекопитающее,Селенгинский район,зима,2.0,-17.3532495139,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
1025,Чайка,птица,Селенгинский район,весна,20.0,8.8593099137,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1026,Эпишура,планктон,Ольхон,весна,5899.0,-2.0268181586,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
1027,Чайка,птица,Малое Море,весна,2.0,-5.4040708964,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
1028,Большой баклан,птица,Малое Море,лето,656.0,13.2663386028,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
1029,Большой баклан,птица,Баргузинский залив,осень,961.0,10.583256125,хищник,загрязнение,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
1030,Чайка,птица,Баргузинский залив,весна,12.0,-0.0412287298,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
1031,Голомянка,рыба,Селенгинский район,осень,284.0,-4.3724308949,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
1032,Чайка,птица,Ольхон,зима,1.0,-16.8360996729,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
1033,Голомянка,рыба,Чивыркуйский залив,весна,312.0,-7.3354058545,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
1034,Эпишура,планктон,Ольхон,осень,8164.0,-14.8392208612,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
1035,Чайка,птица,Селенгинский район,весна,1.0,-4.3883063261,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
1036,Чайка,птица,Чивыркуйский залив,зима,1.0,-15.9249142032,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
1037,Эпишура,планктон,Селенгинский район,осень,3427.0,6.3504230898,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
1038,Нерпа,млекопитающее,Ольхон,весна,6.0,6.532219327,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
1039,Чайка,птица,Чивыркуйский залив,весна,17.0,8.5332711879,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
1040,Нерпа,млекопитающее,Чивыркуйский залив,зима,6.0,-18.8183147955,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
1041,Чайка,птица,Ольхон,весна,8.0,4.8103359911,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
1042,Чайка,птица,Ольхон,зима,1.0,-23.879906047,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1043,Чайка,птица,Чивыркуйский залив,осень,1.0,-13.2741000368,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
1044,Голомянка,рыба,Селенгинский район,зима,389.0,-23.1280301202,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
1045,Чайка,птица,Ольхон,весна,9.0,-1.0286180434,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1046,Эпишура,планктон,Чивыркуйский залив,весна,4607.0,-5.77437123,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
1047,Чайка,птица,Ольхон,лето,18.0,12.8692494194,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1048,Голомянка,рыба,Ольхон,весна,251.0,2.9576034702,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
1049,Чайка,птица,Баргузинский залив,зима,1.0,-19.622167318,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
1050,Чайка,птица,Чивыркуйский залив,осень,14.0,1.7211467315,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
1051,Чайка,птица,Чивыркуйский залив,лето,17.0,14.1240375674,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1052,Эпишура,планктон,Ольхон,осень,8871.0,-9.9309223344,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
1053,Голомянка,рыба,Малое Море,весна,318.0,-8.5196001949,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
1054,Эпишура,планктон,Селенгинский район,зима,1719.0,-21.4565275704,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
1055,Омуль,рыба,Ольхон,лето,60.0,10.5770046949,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
1056,Омуль,рыба,Ольхон,зима,153.0,-15.7208206017,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
1057,Голомянка,рыба,Ольхон,весна,240.0,5.9143520293,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
1058,Голомянка,рыба,Селенгинский район,зима,339.0,-19.9038884764,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
1059,Омуль,рыба,Малое Море,весна,162.0,-2.257778893,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
1060,Голомянка,рыба,Малое Море,осень,219.0,9.4857318828,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
1061,Омуль,рыба,Селенгинский район,зима,65.0,-21.6608063144,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
1062,Эпишура,планктон,Селенгинский район,зима,980.0,-23.2125960221,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
1063,Чайка,птица,Селенгинский район,осень,3.0,0.0335435199,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
1064,Эпишура,планктон,Малое Море,осень,4228.0,4.385705086,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
1065,Чайка,птица,Ольхон,осень,5.0,2.9896327514,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
1066,Чайка,птица,Баргузинский залив,лето,24.0,17.1387304527,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
1067,Чайка,птица,Селенгинский район,лето,17.0,10.5675118217,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
1068,Большой баклан,птица,Ольхон,весна,975.0,-1.4359677448,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
1069,Голомянка,рыба,Баргузинский залив,осень,305.0,-7.8428842816,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
1070,Эпишура,планктон,Малое Море,зима,4828.0,-13.6131811068,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
1071,Чайка,птица,Селенгинский район,зима,1.0,-11.9090427391,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
1072,Чайка,птица,Селенгинский район,весна,8.0,-4.3732851839,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1073,Нерпа,млекопитающее,Селенгинский район,зима,2.0,-23.571728814,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
1074,Голомянка,рыба,Баргузинский залив,весна,288.0,-4.9314407602,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
1075,Омуль,рыба,Ольхон,осень,282.0,-11.8797453282,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
1076,Чайка,птица,Баргузинский залив,весна,1.0,-3.5515566777,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1077,Чайка,птица,Малое Море,зима,1.0,-16.9270213252,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
1078,Эпишура,планктон,Селенгинский район,осень,2331.0,14.2104286319,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
1079,Голомянка,рыба,Баргузинский залив,осень,281.0,-3.0188923695,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
1080,Чайка,птица,Селенгинский район,весна,4.0,-5.5992015229,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
1081,Чайка,птица,Баргузинский залив,осень,2.0,-9.9959477889,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
1082,Омуль,рыба,Малое Море,осень,315.0,-9.8088070158,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
1083,Чайка,птица,Баргузинский залив,весна,4.0,-6.1480463348,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
1084,Чайка,птица,Селенгинский район,осень,18.0,7.8680106761,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
1085,Эпишура,планктон,Ольхон,осень,4750.0,-13.169168657,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
1086,Омуль,рыба,Чивыркуйский залив,зима,124.0,-10.0389593959,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
1087,Голомянка,рыба,Ольхон,осень,251.0,0.680591735,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
1088,Эпишура,планктон,Ольхон,осень,2381.0,1.328156829,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
1089,Чайка,птица,Малое Море,весна,1.0,-2.848722426,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
